"00:00:00","01:00:00","02:00:00","03:00:00","04:00:00","05:00:00","06:00:00","07:00:00","08:00:00","09:00:00","10:00:00","11:00:00","12:00:00","13:00:00","14:00:00","15:00:00","16:00:00","17:00:00","18:00:00","19:00:00","20:00:00","21:00:00","22:00:00","23:00:00"
25.895,24.6676666666667,22.8806666666667,21.2438333333333,20.1321666666667,19.607,19.4383333333333,19.499,19.5216666666667,19.334,20.7433333333333,22.1251666666667,22.826,23.5578333333333,23.8725,22.8745,22.3628333333333,22.8855,26.0898333333333,27.5375,28.3373333333333,28.9276666666667,28.912,27.2391666666667
24.408,21.765,20.0956666666667,19.1671666666667,18.7505,19.1621666666667,20.6308333333333,23.1511666666667,26.0581666666667,28.606,30.804,31.3698333333333,30.9478333333333,31.0786666666667,30.2096666666667,29.3288333333333,29.0485,29.5816666666667,32.2381666666667,32.9568333333333,33.0623333333333,32.9418333333333,32.1358333333333,30.2221666666667
27.3555,24.6521666666667,22.5191666666667,21.2315,20.63,20.5736666666667,20.9338333333333,21.9351666666667,23.492,25.7035,29.0303333333333,30.3295,30.3361666666667,30.5448333333333,30.0443333333333,28.855,28.0038333333333,28.3593333333333,30.9445,31.8271666666667,32.342,32.2363333333333,31.5356666666667,29.8388333333333
27.149,24.2901666666667,21.9333333333333,20.5306666666667,19.8405,19.8155,19.9828333333333,20.3685,20.9538333333333,22.0243333333333,24.667,26.2836666666667,26.6921666666667,27.1936666666667,27.286,26.2533333333333,25.5858333333333,25.929,29.0756666666667,30.5698333333333,31.2258333333333,32.0148333333333,31.6425,29.7761666666667
26.5386666666667,23.6948333333333,21.7681666666667,20.7983333333333,20.37,20.6865,22.0081666666667,24.8058333333333,28.1026666666667,30.9571666666667,33.0146666666667,33.4126666666667,32.765,32.675,31.8045,30.7226666666667,30.4958333333333,30.7576666666667,32.5901666666667,32.6298333333333,32.4676666666667,32.7963333333333,32.5205,31.352
29.0915,25.7328333333333,23.0233333333333,21.6083333333333,20.9755,20.6428333333333,20.964,21.4255,22.1415,23.2803333333333,25.5051666666667,26.7026666666667,26.811,27.1096666666667,26.9576666666667,25.7726666666667,25.4025,25.9848333333333,28.873,30.4898333333333,31.648,32.7313333333333,32.7103333333333,30.7783333333333
27.075,23.9523333333333,22.0786666666667,21.2945,21.1221666666667,21.7095,24.168,28.7491666666667,34.2145,36.6775,38.2115,38.7996666666667,38.3608333333333,38.092,36.67,36.3003333333333,36.804,38.0496666666667,40.675,41.7708333333333,41.3423333333333,40.6445,38.305,34.858
30.9318333333333,27.2158333333333,25.4268333333333,24.5383333333333,24.2016666666667,24.7081666666667,26.9191666666667,32.052,37.9343333333333,39.8356666666667,41.317,41.7078333333333,41.3751666666667,41.3596666666667,39.7691666666667,39.6646666666667,40.0475,41.1885,43.5533333333333,44.053,43.5235,42.5375,40.1351666666667,36.5586666666667
32.2395,28.7558333333333,26.8256666666667,25.9621666666667,25.6571666666667,25.9975,28.1896666666667,33.4371666666667,38.9301666666667,40.6381666666667,42.1851666666667,42.4806666666667,41.8275,41.2888333333333,39.433,38.752,38.5935,39.2005,41.7066666666667,42.5766666666667,41.882,41.1263333333333,39.3863333333333,36.7073333333333
33.2785,29.9251666666667,27.1536666666667,25.6983333333333,25.0893333333333,24.8098333333333,25.0101666666667,26.0325,28.0643333333333,30.6913333333333,34.3098333333333,35.579,35.192,34.858,34.321,33.1563333333333,32.6348333333333,32.754,35.6981666666667,37.2348333333333,37.815,37.8473333333333,37.1128333333333,35.33
