"00:00:00","00:10:00","00:20:00","00:30:00","00:40:00","00:50:00","01:00:00","01:10:00","01:20:00","01:30:00","01:40:00","01:50:00","02:00:00","02:10:00","02:20:00","02:30:00","02:40:00","02:50:00","03:00:00","03:10:00","03:20:00","03:30:00","03:40:00","03:50:00","04:00:00","04:10:00","04:20:00","04:30:00","04:40:00","04:50:00","05:00:00","05:10:00","05:20:00","05:30:00","05:40:00","05:50:00","06:00:00","06:10:00","06:20:00","06:30:00","06:40:00","06:50:00","07:00:00","07:10:00","07:20:00","07:30:00","07:40:00","07:50:00","08:00:00","08:10:00","08:20:00","08:30:00","08:40:00","08:50:00","09:00:00","09:10:00","09:20:00","09:30:00","09:40:00","09:50:00","10:00:00","10:10:00","10:20:00","10:30:00","10:40:00","10:50:00","11:00:00","11:10:00","11:20:00","11:30:00","11:40:00","11:50:00","12:00:00","12:10:00","12:20:00","12:30:00","12:40:00","12:50:00","13:00:00","13:10:00","13:20:00","13:30:00","13:40:00","13:50:00","14:00:00","14:10:00","14:20:00","14:30:00","14:40:00","14:50:00","15:00:00","15:10:00","15:20:00","15:30:00","15:40:00","15:50:00","16:00:00","16:10:00","16:20:00","16:30:00","16:40:00","16:50:00","17:00:00","17:10:00","17:20:00","17:30:00","17:40:00","17:50:00","18:00:00","18:10:00","18:20:00","18:30:00","18:40:00","18:50:00","19:00:00","19:10:00","19:20:00","19:30:00","19:40:00","19:50:00","20:00:00","20:10:00","20:20:00","20:30:00","20:40:00","20:50:00","21:00:00","21:10:00","21:20:00","21:30:00","21:40:00","21:50:00","22:00:00","22:10:00","22:20:00","22:30:00","22:40:00","22:50:00","23:00:00","23:10:00","23:20:00","23:30:00","23:40:00","23:50:00"
33.688,32.999,32.507,32.052,31.38,30.746,30.137,29.546,29.296,28.382,28.178,27.736,27.066,26.924,26.353,25.702,25.589,25.042,25.134,24.85,24.637,24.609,24.339,23.928,23.72,23.86,23.727,23.775,23.494,23.46,23.52,23.502,23.547,23.385,23.335,23.487,23.21,23.568,23.542,23.45,23.569,23.724,23.775,23.712,23.734,23.585,23.636,23.872,24.325,24.586,24.735,24.351,24.108,24.472,24.737,25.617,26.024,26.066,26.4,27.075,27.361,28.333,28.786,28.8,29.12,29.361,29.731,30.156,30.381,30.306,30.533,30.56,30.402,30.503,30.368,30.453,30.263,30.515,30.68,30.527,30.692,30.766,31.018,30.99,30.96,30.937,30.899,30.746,30.572,30.4,30.152,29.811,29.671,29.63,29.186,29.437,29.502,29.1,29.095,29.018,28.995,29.088,29.073,28.863,28.683,29.224,29.717,30.168,30.921,31.962,32.532,33.423,33.689,34.405,34.704,35.189,35.19,35.33,35.481,36.055,35.88,36.354,36.873,36.3,36.571,36.743,37.055,37.333,37.376,37.168,37.081,36.935,36.629,36.881,37.064,36.559,36.106,35.773,35.163,34.745,34.257,33.678,33.113,32.517
31.416,30.695,30.061,29.133,28.84,28.338,27.709,27.106,26.785,26.377,26.111,25.658,25.263,25.113,25.081,24.774,24.55,24.202,24.383,24.05,24.298,24.03,23.571,23.694,23.641,23.851,23.806,23.451,23.896,23.489,23.706,24.18,24.14,24.278,24.535,24.736,25.317,26.277,27.062,27.567,28.305,28.942,29.904,31.409,32.524,33.143,34.587,35.434,36.189,38.582,39.403,39.395,39.549,39.518,39.247,40.115,40.374,40.672,40.947,40.97,40.684,41.419,41.331,41.276,41.492,41.335,41.251,41.386,41.352,41.06,41.147,40.937,40.551,40.414,40.323,40.107,40.072,40.329,39.892,39.739,39.93,39.617,39.172,38.905,38.09,37.637,37.669,37.455,37.354,37.307,36.907,36.982,37.144,37.12,37.357,37.398,37.415,37.233,37.1,37.47,37.659,37.612,37.786,38.085,38.4,39.014,39.16,39.601,40.178,40.863,41.495,41.963,42.805,43.086,42.976,43.141,43.026,43.185,43.298,43.298,43.2,43.088,42.833,42.995,42.953,42.75,42.725,42.926,42.562,42.274,41.888,41.275,40.618,40.294,40.23,39.703,39.218,38.552,37.702,37.132,36.529,35.759,35.23,34.7
34.056,33.05,32.585,31.938,31.308,30.688,30.192,29.339,28.679,28.559,28.211,27.909,27.752,27.395,27.303,27.212,26.912,26.741,26.389,26.681,26.298,26.101,26.178,25.913,26.076,26.09,26.067,25.807,25.836,25.715,25.949,26.272,26.347,26.088,26.518,26.721,27.275,27.93,28.306,29.021,29.434,29.994,31.081,32.302,33.67,34.413,35.578,36.421,36.877,38.876,39.588,39.905,39.943,39.624,39.777,40.537,40.991,41.19,41.325,41.25,41.451,42.227,42.464,42.665,42.658,42.705,42.747,42.694,42.823,42.646,42.7,42.732,42.491,42.251,42.288,42.109,42.232,42.171,42.136,41.995,42.087,42.189,41.71,41.502,40.995,40.394,40.439,40.425,40.414,40.339,40.01,39.961,40.061,40.15,40.349,40.306,40.393,40.028,40.019,40.16,40.413,40.468,40.546,40.816,40.723,41.056,41.413,41.639,42.024,42.622,43.125,43.739,44.376,44.352,44.334,44.372,44.149,44.259,44.187,44.342,43.936,43.973,43.927,43.897,43.703,43.665,43.537,43.68,43.24,42.566,42.354,41.685,41.094,40.73,40.609,39.98,39.206,38.821,37.783,37.492,36.659,36.073,35.181,34.418
33.468,32.511,32.152,31.308,30.641,30.219,29.353,29.072,28.778,28.326,27.978,27.665,27.135,27.058,26.947,26.714,26.522,26.332,26.212,26.074,26.002,25.803,25.726,25.901,25.878,25.673,25.801,25.533,25.567,25.571,25.445,25.982,25.949,26.23,26.225,26.325,26.818,27.564,28.413,28.539,29.291,30.176,30.737,32.512,33.55,34.535,35.402,36.273,37.006,39.288,39.881,39.939,39.955,39.836,39.662,40.613,40.59,40.892,41.1,41.058,41.203,41.641,41.432,41.508,41.635,41.646,41.726,41.995,41.95,41.881,41.657,41.696,41.504,41.225,41.235,40.856,40.884,40.887,40.52,40.45,40.393,40.22,39.808,39.347,38.67,37.964,38.036,37.798,37.631,37.707,37.548,37.419,37.466,37.544,37.747,37.663,37.749,37.595,37.485,37.522,37.548,37.798,37.946,38.31,38.755,39.052,39.467,39.709,40.103,40.939,41.469,42.169,42.829,42.983,43.007,43.109,43.22,43.279,43.247,43.501,43.39,43.301,43.331,43.113,42.884,42.805,42.712,42.922,42.682,42.358,41.534,41.1,40.677,40.585,40.435,39.855,39.156,38.969,38.068,37.661,37.099,36.08,35.627,34.852
33.869,32.977,32.345,31.491,31.166,30.412,29.752,29.52,29.137,28.632,28.54,28.06,27.322,27.429,26.901,26.714,26.717,26.365,26.447,26.278,25.909,25.936,25.858,25.859,25.748,25.59,25.853,25.847,25.839,25.8,25.896,26.123,26.005,26.22,26.231,26.49,26.919,27.838,28.267,28.778,29.463,30.281,31.202,32.774,33.632,34.536,35.607,36.448,37.008,39.157,39.912,40.086,40.273,39.89,39.711,40.398,40.546,40.553,40.921,41.13,41.082,41.439,41.457,40.988,41.306,41.628,41.408,41.289,41.229,41.108,40.954,40.929,40.632,40.421,40.219,39.958,39.909,39.865,39.702,39.685,39.68,39.522,39.016,38.703,38.051,37.232,37.366,37.201,37.223,37.088,37.063,37.094,37.215,37.305,37.452,37.42,37.625,37.662,37.64,37.653,38.002,37.998,38.282,38.649,39,39.318,39.617,39.795,40.222,41.02,41.653,42.219,42.905,43.156,43.041,43.127,43.156,43.052,43.139,43.173,43.102,42.893,42.86,42.652,42.596,42.44,42.24,42.512,42.243,41.816,41.511,40.812,40.31,40.309,40.142,39.524,38.981,38.482,37.408,36.924,36.733,35.793,35.284,34.623
33.882,32.893,32.434,31.599,31.306,30.549,29.87,29.425,29.01,28.768,28.231,27.613,27.482,27.297,27.017,26.678,26.652,26.358,26.183,26.213,26.119,25.854,25.81,25.757,25.644,25.849,25.569,25.466,25.707,25.567,25.873,26.03,26.121,26.089,25.903,26.272,26.928,27.769,28.298,28.695,28.949,30.039,30.921,32.295,33.339,34.052,35.086,35.956,36.62,38.544,39.316,39.378,39.59,39.213,39.065,40.023,40.243,40.413,40.648,40.627,40.577,41.176,41.306,41.325,41.22,41.13,41.071,41.081,41.064,40.665,40.665,40.738,40.189,39.906,39.749,39.632,39.775,39.585,39.513,39.331,39.312,38.916,38.723,38.279,37.781,37.143,36.949,36.929,36.785,36.746,36.583,36.51,36.53,36.564,36.478,36.677,36.741,36.574,36.564,36.554,36.602,36.712,36.854,36.911,37.3,37.626,37.742,37.733,38.329,39.039,39.592,40.245,40.758,41.095,41.123,41.082,41.088,41.12,41.065,41.14,41.031,40.822,40.767,40.516,40.486,40.208,40.063,40.213,39.939,39.813,39.339,38.675,38.458,38.385,38.113,38.054,37.461,36.99,36.581,36.167,35.753,35.408,34.629,34.109
33.722,33.108,32.566,32.043,31.624,31.205,30.231,29.99,29.722,28.973,28.624,28.143,27.768,27.645,27.189,26.929,26.603,26.434,26.027,25.78,25.729,25.518,25.526,25.449,25.389,25.162,25.225,25.028,25.026,25.003,24.676,24.998,24.868,24.747,24.852,24.644,24.504,24.982,24.889,24.721,25.117,25.152,25.396,26.013,25.946,26.22,26.589,26.844,27.295,28.3,28.267,28.214,28.479,28.486,29.177,30.303,30.621,31.085,31.46,31.787,32.06,33.269,33.466,33.818,33.828,33.793,33.488,33.748,33.661,33.696,33.572,33.213,32.587,32.481,32.016,31.935,32.004,31.958,31.913,31.828,31.575,31.451,31.572,31.48,31.083,31.109,30.966,30.636,30.335,29.739,29.939,29.455,29.459,29.373,29.385,29.25,29.273,29.006,28.819,29.03,29.42,29.376,29.315,30.162,29.544,29.508,29.861,30.563,30.883,31.894,32.749,33.656,34.593,34.712,34.769,35.194,35.105,35.402,35.412,35.678,35.769,35.901,36.072,36.095,36.235,35.991,36.44,36.517,36.401,35.972,35.823,35.355,35.428,35.516,35.434,35.371,34.875,34.621,34.262,33.99,33.714,33.311,33.056,32.2
31.946,31.286,30.945,30.345,29.93,29.225,28.703,28.27,27.887,27.413,26.955,26.5,26.327,25.759,25.499,24.771,24.855,24.438,24.406,24.19,23.983,23.475,23.639,23.286,23.176,23.244,23.114,23.081,23.025,22.873,22.99,22.963,23.034,22.698,22.751,22.918,22.79,22.926,23.114,23.07,23.101,22.868,23.157,23.352,23.402,23.478,24.448,24.281,24.012,23.539,23.85,23.327,24.14,24.211,24.192,24.956,25.265,25.649,25.958,26.153,26.293,27.256,27.863,27.933,28.174,28.073,28.022,28.714,29.04,28.69,28.724,28.778,28.467,28.444,28.427,28.069,28.012,28.127,27.883,28.199,28.092,28.026,28.305,28.299,28.349,28.488,28.384,28.205,28.212,28.014,27.65,27.25,27.196,27.267,26.996,27.107,27.118,26.42,26.563,26.682,26.589,26.719,26.837,26.691,26.728,26.976,27.293,27.718,28.413,29.209,30.138,30.985,31.622,32.037,32.513,32.806,32.992,33.223,33.52,33.493,33.902,33.714,34.106,34.425,34.688,34.756,34.699,35.309,34.859,35.032,34.858,34.777,34.506,34.896,34.767,34.487,33.977,33.82,32.843,32.816,32.334,31.657,31.219,30.518
29.572,28.841,28.522,27.675,27.192,26.707,26.147,25.757,25.26,25.072,24.785,24.456,24.316,23.963,23.639,23.616,23.261,23.106,22.91,22.792,22.692,22.699,22.726,22.617,22.423,22.394,22.389,22.443,22.314,22.328,22.321,22.937,22.917,23.178,23.364,23.586,24.009,24.965,25.567,26.134,26.887,27.623,28.246,29.773,30.851,31.816,32.894,33.604,34.141,36.383,36.907,37.01,37.098,37.107,36.833,37.919,37.961,38.283,38.108,38.541,38.286,38.996,39.082,39.367,39.383,39.609,39.209,39.737,39.758,39.608,39.587,39.675,39.241,38.981,39.035,38.931,38.989,38.994,38.718,38.456,38.741,38.554,38.104,37.815,37.134,36.551,36.46,36.447,36.299,36.083,35.954,36.057,36.189,36.129,36.336,36.542,36.546,36.151,36.117,36.232,36.363,36.529,36.45,36.504,36.588,36.9,37.099,37.367,37.714,38.277,38.563,39.137,39.611,39.952,40.11,40.022,39.979,39.785,39.943,40.11,39.702,39.57,39.631,39.603,39.373,39.123,38.986,39.14,38.87,38.543,38.03,37.462,36.713,36.768,36.637,36.063,35.499,35.047,34.376,34.008,33.511,32.404,32.181,31.645
30.901,30.299,29.873,29.133,28.532,27.9,27.525,27.247,26.694,26.511,26.213,25.69,25.597,25.376,25.184,24.632,24.724,24.664,24.548,24.39,24.101,24.038,23.836,23.909,23.71,23.856,23.896,23.643,23.832,23.718,23.79,24.116,24.433,24.313,24.342,24.554,25.04,26.016,26.537,26.858,27.239,27.997,28.871,30.693,31.387,32.305,33.169,33.979,34.605,37.16,36.845,37.124,37.155,36.779,36.697,37.614,37.895,37.775,37.83,37.768,37.883,38.292,38.154,38.273,38.179,38.199,38.453,38.441,37.996,38.085,38.288,38.352,37.875,37.739,37.825,37.776,37.766,37.737,37.541,37.208,37.491,37.284,36.897,36.501,36.032,35.336,35.275,35.161,35.108,35.127,35.2,34.768,34.963,35.071,35.268,35.422,35.251,35.679,35.455,35.505,35.507,35.792,36.089,36.256,36.548,36.851,37.287,37.578,38.093,38.453,38.893,39.811,40.589,41.311,41.363,41.423,41.209,41.563,41.509,41.475,41.356,41.257,41.217,41.31,40.915,40.634,40.446,40.563,40.39,40.153,39.501,38.803,38.476,38.145,38.033,37.62,37.094,36.544,35.629,35.165,34.527,33.791,33.236,32.484
